Designator,Footprint,Quantity,Value,LCSC Part #
"12V_EXT1, 12V_HEADER1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"AFT_ISOL_VALVE_FAULT1, BLOWER_FAULT1, DISCH_L1, DISCH_R1, EXTRACT_FAULT1, SMOKE_L1, SMOKE_R1",LED_D3.0mm,7,AMBER,
"AFT_ISOL_VALVE_OFF1, BLOWER_OVRD1, CABFANS_OFF1, EXTRACT_OVRD1",LED_D3.0mm,4,WHITE,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_21, BL_22, BL_23, BL_24, BL_25, BL_26, BL_27, BL_28, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,28,YELLOW,
"BTN_CARGO_SMOKE_TEST1, BTN_RAIN_RPLNT1",SW-Push,2,Push Button,
"C1, C2, C3, C4",C_Disc_D3.0mm_W1.6mm_P2.50mm,4,0.1uF Ceramic,
"ENG_START1_ON1, ENG_START2_ON1, N1_MODE_ON1, N1_MODE_ON2",LED_D3.0mm,4,BLUE,
FLT_CTL_FO1,IDC-Header_2x08_P2.54mm_Vertical,1,Pin Header 2x08,
MUX1,MUX74HC4067,1,MUX74HC4067,
"R1, R2, R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,1k,
RSW_WIPER1,SR16-AB,1,SR16 3pos,
"SW_AFT_ISOL_VALVE_FAULT1, SW_BLOWER1, SW_CABFANS1, SW_DISCH_L1, SW_DISCH_R1, SW_ENG_START1, SW_ENG_START2, SW_EXTRACT1, SW_N1_MODE1, SW_N1_MODE2",B3F1000,10,B3F-1055,
"U1, U2, U3, U4",DIP-16_W7.62mm,4,TLC5917,
U5,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
