Designator,Footprint,Quantity,Value,LCSC Part #
"12V_EXT1, 12V_HEADER1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_21, BL_22, BL_23, BL_24, BL_25, BL_26, BL_27, BL_28, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,28,YELLOW,
"BTN_AFT1, BTN_ALL1, BTN_CVR_ERASE1, BTN_CVR_TEST1, BTN_FWD1, BTN_HORN_SHUTOFF1, BTN_MECH1, BTN_RAIN_RPLNT1",SW-Push,8,Push Button,
BTN_CAPT_PURS1,T80-Z1,1,BTN_SPDT[ON-OFF],
"BTN_COMMAND_EVAC1, BTN_CREW_SUPPLY1, BTN_EMER1, BTN_EMER_GEN_TEST1, BTN_FLAP_MODE1, BTN_GEN_1_LINE1, BTN_GND_CTL1, BTN_GS_MODE1, BTN_LDG_FLAP_1, BTN_MAN_ON1, BTN_MASK_MAN1, BTN_PASSENGER1, BTN_RAT_EMER_GEN1, BTN_SYS1, BTN_TERR1",B3F1000,15,B3F-1055,
"C1, C2, C3, C4",C_Disc_D3.0mm_W1.6mm_P2.50mm,4,0.1uF Ceramic,
"COMMAND_EVAC1, EMER_CALL1, GEN_1_LINE_SMOKE1, RAT_EMER_GEN_FAULT1, SYS_FAULT1, TERR_FAULT1",LED_D3.0mm,6,AMBER,
"COMMAND_EVAC_ON1, CREW_SUPPLY_OFF1, EMER_ON1, FLAP_MODE_OFF1, GEN_1_LINE_OFF1, GS_MODE_OFF1, LDG_FLAP_ON1, PASSENGER_SYS_ON1, SYS_OFF1, TERR_OFF1",LED_D3.0mm,10,WHITE,
FLT_CTL_CPT1,IDC-Header_2x07_P2.54mm_Vertical,1,Pin Header 2x07,
GND_CTL_ON1,LED_D3.0mm,1,BLUE,
"MUX1, MUX2",MUX74HC4067,2,MUX74HC4067,
"R1, R2, R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,1k,
RSW_WIPER1,SR16-AB,1,SR16 3pos,
"U1, U2, U3, U4",DIP-16_W7.62mm,4,TLC5917,
U5,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
