Designator,Footprint,Quantity,Value,LCSC Part #
"12V_EXT1, 12V_HEADER1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"APU1, APU2, APU3, APU4, APU5, APU6, APU7, APU8, ENG11, ENG12, ENG13, ENG14, ENG15, ENG16, ENG17, ENG18, ENG21, ENG22, ENG23, ENG24, ENG25, ENG26, ENG27, ENG28",LED_D3.0mm,24,RED,
"APU_AGENT_DISCH1, ENG1_AGENT1_DISCH1, ENG1_AGENT2_DISCH1, ENG2_AGENT1_DISCH1, ENG2_AGENT2_DISCH1",LED_D3.0mm,5,AMBER,
"APU_AGENT_SQUIB1, ENG1_AGENT1_SQUIB1, ENG1_AGENT2_SQUIB1, ENG2_AGENT1_SQUIB1, ENG2_AGENT2_SQUIB1",LED_D3.0mm,5,WHITE,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_21, BL_22, BL_23, BL_24, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,24,YELLOW,
"BTN_APU1, BTN_APU2, BTN_APU_AGENT1, BTN_ENG11, BTN_ENG12, BTN_ENG1_AGENT1, BTN_ENG1_AGENT2, BTN_ENG21, BTN_ENG22, BTN_ENG2_AGENT1, BTN_ENG2_AGENT2",B3F1000,11,B3F-1055,
"BTN_APU_TEST1, BTN_ENG1_TEST1, BTN_ENG2_TEST1",SW-Push,3,Push Button,
"C1, C2, C3",C_Disc_D3.0mm_W1.6mm_P2.50mm,3,0.1uF Ceramic,
"R1, R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,1k,
"U1, U2, U3",DIP-16_W7.62mm,3,TLC5917,
U4,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
