Designator,Footprint,Quantity,Value,LCSC Part #
"12V_EXT1, 12V_HEADER1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_21, BL_22, BL_23, BL_24, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,24,YELLOW,
"BL_25, BL_26, BL_27, BL_28, BL_29, BL_30, BL_31, BL_32, ELEC1_PUMP_OFF1, ELEC2_PUMP_ON1, ENG1_PUMP_OFF1, ENG2_PUMP_OFF1, L_TK_PUMPS1_OFF1, L_TK_PUMPS2_OFF1, MODE_SEL_MAN1, PTU_OFF1, PUMP1_OFF1, PUMP2_OFF1, RAT_MAN_ON1, R_TK_PUMPS1_OFF1, R_TK_PUMPS2_OFF1, XFEED_ON1, XFEED_OPEN1",LED_D3.0mm,23,WHITE,
"BTN_ELEC1_PUMP1, BTN_ELEC2_PUMP1, BTN_ENG1_PUMP1, BTN_ENG2_PUMP1, BTN_L_TK_PUMPS1, BTN_L_TK_PUMPS2, BTN_MODE_SEL1, BTN_PTU1, BTN_PUMP1, BTN_PUMP2, BTN_RAT_MAN1, BTN_R_TK_PUMPS1, BTN_R_TK_PUMPS2, BTN_XFEED1",B3F1000,14,B3F-1055,
"C1, C2, C3, C4",C_Disc_D3.0mm_W1.6mm_P2.50mm,4,0.1uF Ceramic,
"ELEC1_PUMP_FAULT1, ELEC2_PUMP_FAULT1, ENG1_PUMP_FAULT1, ENG2_PUMP_FAULT1, L_TK_PUMPS1_FAULT1, L_TK_PUMPS2_FAULT1, MODE_SEL_FAULT1, PTU_FAULT1, PUMP1_FAULT1, PUMP2_FAULT1, RAT_MAN_FAULT1, R_TK_PUMPS1_FAULT1, R_TK_PUMPS2_FAULT1",LED_D3.0mm,13,AMBER,
MUX1,MUX74HC4067,1,MUX74HC4067,
"R1, R2, R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,1k,
"U1, U2, U3, U4",DIP-16_W7.62mm,4,TLC5917,
U5,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
