Designator,Footprint,Quantity,Value,LCSC Part #
"12V_EXT1, 12V_HEADER1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"AC_ESS_FEED_ALTN1, APU_GEN_OFF1, BAT1_OFF1, BAT2_OFF1, BL_21, BL_22, BL_23, BL_24, BL_25, BL_26, BL_27, BL_28, BL_29, BL_30, BL_31, BL_32, BUS_TIE_OFF1, COMMERCIAL_OFF1, GALY_CAB_OFF1, GEN1_OFF1, GEN2_OFF1",LED_D3.0mm,21,WHITE,
"AC_ESS_FEED_FAULT1, APU_GEN_FAULT1, BAT1_FAULT1, BAT2_FAULT1, GALY_CAB_FAULT1, GEN1_FAULT1, GEN2_FAULT1, IDG1_FAULT1, IDG2_FAULT1",LED_D3.0mm,9,AMBER,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,20,YELLOW,
"BTN_AC_ESS_FEED1, BTN_APU_GEN1, BTN_BAT1, BTN_BAT2, BTN_BUS_TIE1, BTN_COMMERCIAL1, BTN_EXT_PWR1, BTN_GALY_CAB1, BTN_GEN1, BTN_GEN2, BTN_IDG1, BTN_IDG2",B3F1000,12,B3F-1055,
"C1, C2, C3, C4, C6",C_Disc_D3.0mm_W1.6mm_P2.50mm,5,0.1uF Ceramic,
C5,CP_Radial_D4.0mm_P1.50mm,1,10uF,
"DISP_BAT1, DISP_BAT2",2841AW,2,2841AW,
EXT_PWR_AVAIL1,LED_D3.0mm,1,GREEN,
EXT_PWR_ON1,LED_D3.0mm,1,BLUE,
MUX1,MUX74HC4067,1,MUX74HC4067,
"R1, R2, R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,1k,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,22k,
"U1, U2, U3, U4",DIP-16_W7.62mm,4,TLC5917,
U5,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
U6,DIP-24_W7.62mm,1,MAX7221xNG,
