Designator,Footprint,Quantity,Value,LCSC Part #
"12V_EXT1, 12V_HEADER1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"APU_BLEED_FAULT1, ENG1_BLEED_FAULT1, ENG2_BLEED_FAULT1, HOT_AIR_FAULT1, PACK1_FAULT1, PACK2_FAULT1",LED_D3.0mm,6,AMBER,
APU_BLEED_ON1,LED_D3.0mm,1,BLUE,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_21, BL_22, BL_23, BL_24, BL_25, BL_26, BL_27, BL_28, BL_29, BL_3, BL_30, BL_31, BL_32, BL_33, BL_34, BL_35, BL_36, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,36,YELLOW,
"BL_37, BL_38, BL_39, BL_40, BL_41, BL_42, BL_43, BL_44, BL_45, BL_46, BL_47, BL_48, BL_49, BL_50, BL_51, BL_52, ENG1_BLEED_OFF1, ENG2_BLEED_OFF1, HOT_AIR_OFF1, PACK1_OFF1, PACK2_OFF1, RAMAIR_ON1",LED_D3.0mm,22,WHITE,
"BTN_APU_BLEED1, BTN_ENG1_BLEED1, BTN_ENG2_BLEED1, BTN_HOT_AIR1, BTN_PACK1, BTN_PACK2, BTN_RAMAIR1",B3F1000,7,B3F-1055,
"C1, C2, C3, C4",C_Disc_D3.0mm_W1.6mm_P2.50mm,4,0.1uF Ceramic,
MUX1,MUX74HC4067,1,MUX74HC4067,
"POT_AFT_CABIN1, POT_COCKPIT1, POT_FWD_CABIN1",Potentiometer_Alps_RK09K_Single_Vertical,3,10k,
"R1, R2, R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,1k,
"RSW_BLEED1, RSW_PACK1",SR16-AB,2,SR16 3pos,
"U1, U2, U3, U4",DIP-16_W7.62mm,4,TLC5917,
U5,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
