Designator,Footprint,Quantity,Value,LCSC Part #
"12V_EXT1, 12V_HEADER1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
APU_MASTER_AVAIL1,LED_D3.0mm,1,GREEN,
"APU_MASTER_FAULT1, ENG1_FAULT1, ENG2_FAULT1, MODE_SEL_FAULT1, WING_ICE_FAULT1",LED_D3.0mm,5,AMBER,
"APU_MASTER_SW_ON1, APU_START_ON1, ENG1_ON1, ENG2_ON1, HEAT_ON1, WING_ICE_ON1",LED_D3.0mm,6,BLUE,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_21, BL_22, BL_23, BL_24, BL_25, BL_26, BL_27, BL_28, BL_29, BL_3, BL_30, BL_31, BL_32, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,32,YELLOW,
"BTN_APU_MASTER1, BTN_APU_START1, BTN_DITCHING1, BTN_ENG1, BTN_ENG2, BTN_HEAT1, BTN_MODE_SEL1, BTN_SIGNS1, BTN_WING_ICE1",B3F1000,9,B3F-1055,
"C1, C2, C3",C_Disc_D3.0mm_W1.6mm_P2.50mm,3,0.1uF Ceramic,
"DITCHING_ON1, EMER_EXIT_OFF1, MODE_SEL_MAN1",LED_D3.0mm,3,WHITE,
"MUX1, MUX2",MUX74HC4067,2,MUX74HC4067,
"POT_LDG_ELEV_AUTO1, POT_OVHD_INTEG_LT1",Potentiometer_Alps_RK09K_Single_Vertical,2,10k,
"R1, R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,1k,
"SW_ANN_LT1, SW_DOME1, SW_EMER_EXIT_LT1, SW_LAND_L1, SW_LAND_R1, SW_NAV_LOGO1, SW_NOSE1, SW_NO_SMOKING1, SW_STROBE1",T80-Z1,9,SW_SPDT[ON-OFF-ON],
"SW_BEACON1, SW_RWY_TURN_OFF1, SW_SEAT_BELTS1, SW_STBY_COMPASS1, SW_WING1",T80-Z1,5,SW_SPDT[ON-OFF],
SW_MAN_V/S_CTL1,T80-Z1,1,SW_SPDT(ON)-OFF-(ON),
U1,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
"U2, U3, U4",DIP-16_W7.62mm,3,TLC5917,
