Designator,Footprint,Quantity,Value,LCSC Part #
"12V_EXT1, 12V_HEADER1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Pin Header,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"ADR1_FAULT1, ADR2_FAULT1, ADR3_FAULT1, IR1_FAULT1, IR2_FAULT1, IR3_FAULT1",LED_D3.0mm,6,AMBER,
"ADR1_OFF1, ADR2_OFF1, ADR3_OFF1, IR1_OFF1, IR2_OFF1, IR3_OFF1",LED_D3.0mm,6,WHITE,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_2, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9, ON_BAT1",LED_D3.0mm,17,YELLOW,
"BTN_ADR1, BTN_ADR2, BTN_ADR3, BTN_IR1, BTN_IR2, BTN_IR3",B3F1000,6,B3F-1055,
"C1, C2, C3",C_Disc_D3.0mm_W1.6mm_P2.50mm,3,0.1uF Ceramic,
MUX1,MUX74HC4067,1,MUX74HC4067,
PA_CDV1,JST_EH_B7B-EH-A_1x07_P2.50mm_Vertical,1,Pin Header,
"R1, R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,1k,
RSW1,SR16-AB,1,ADR1,
RSW2,SR16-AB,1,ADR2,
RSW3,SR16-AB,1,ADR3,
"U1, U2, U3",DIP-16_W7.62mm,3,TLC5917,
U4,Sparkfun_Pro_Micro,1,Arduino Pro_Micro,
