Designator,Footprint,Quantity,Value,LCSC Part #
"12V_EXT1, 12V_HEADER1, QNH_QFE1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,3,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"ARPT_1, CSTR_ON1, FD_ON1, LS_ON1, NDB_ON1, VORD_ON1, WPT_ON1",LED_D3.0mm,7,GREEN,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_21, BL_22, BL_23, BL_24, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9, QFE1, QFE2, QNH1, QNH2",LED_D3.0mm,28,YELLOW,
"BL_ARPT1, BL_CSTR1, BL_FD1, BL_LS1, BL_NDB1, BL_VORD1, BL_WPT1",LED_D3.0mm,7,WHITE,
"BTN_ARPT1, BTN_CSTR1, BTN_FD1, BTN_LS1, BTN_NDB1, BTN_VORD1, BTN_WPT1",B3F1000,7,B3F-1055,
"C1, C2, C3",C_Disc_D3.0mm_W1.6mm_P2.50mm,3,0.1uF Ceramic,
C4,CP_Radial_D4.0mm_P1.50mm,1,10uF,
DISP_BARO1,2841AW,1,2841AW,
K1,PEC12R-4XXXF-SXXXX_1,1,PEC11R-4015F-S0024,
"MUX1, MUX2",MUX74HC4067,2,MUX74HC4067,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,1k,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,22k,
RSW_DISTANCE1,SR16-AB,1,SR16 6pos,
RSW_MODE_SELECT1,SR16-AB,1,SR16 5pos,
"SW_NAV1, SW_NAV2",T80-Z1,2,SW_SPDT[ON-OFF],
"U1, U2",DIP-16_W7.62mm,2,TLC5917,
U3,DIP-24_W7.62mm,1,MAX7221xNG,
U4,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
