Designator,Footprint,Quantity,Value,LCSC Part #
"12V_EXT1, 12V_HEADER1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"ARROW1, WARN1, WARN2",LED_D3.0mm,3,Red,
"BL_1, BL_2, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8",LED_D3.0mm,8,Yellow,
"BTN_CAUT1, BTN_SIDESTICK1, BTN_WARN1",B3F1000,3,B3F-1055,
BTN_CHRONO1,SW-Push,1,Push Button,
"CAUT1, CAUT2",LED_D3.0mm,2,Amber,
"Ext_ATC_MSG1, Ext_AUTOLAND1, Potentiometer1",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,3,Pin Header 1x04,
External1,JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,1,Pin Header 1x03,
PRIO1,LED_D3.0mm,1,Green,
"Q1, Q2",TO-92_HandSolder,2,BS170,
"R1, R10, R2, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,50,
"R11, R12, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,150,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,100,
"R5, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,1k,
"R6, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,10k,
U1,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
