Designator,Footprint,Quantity,Value,LCSC Part #
"12V_EXT1, 12V_HEADER1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
ACCU_PRESSURE1,JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical,1,Pin Header 1x05,
"AUTO_BRK_LO_DECEL1, AUTO_BRK_MAX_DECEL1, AUTO_BRK_MED_DECEL1, TERR_ON_ND_ON1, UNLK_ARROW1, UNLK_ARROW2, UNLK_ARROW3",LED_D3.0mm,7,GREEN,
"AUTO_BRK_LO_ON1, AUTO_BRK_MAX_ON1, AUTO_BRK_MED_ON1",LED_D3.0mm,3,BLUE,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,20,YELLOW,
BRK_FAN_HOT1,LED_D3.0mm,1,AMBER,
BRK_FAN_ON1,LED_D3.0mm,1,WHITE,
"BTN_AUTO_BRK_LO1, BTN_AUTO_BRK_MAX1, BTN_AUTO_BRK_MED1, BTN_BRK_FAN1, BTN_TERR_ON_ND1",B3F1000,5,B3F-1055,
"C1, C2, C3",C_Disc_D3.0mm_W1.6mm_P2.50mm,3,0.1uF Ceramic,
GEAR_Panel1,IDC-Header_2x04_P2.54mm_Vertical,1,Pin Header 2x04,
"R1, R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,1k,
SW_ASKID_NW_STRG1,T80-Z1,1,SW_SPDT[ON-OFF],
"U1, U2, U3",DIP-16_W7.62mm,3,TLC5917,
U4,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
"UNLK1, UNLK2, UNLK3",LED_D3.0mm,3,RED,
