Designator,Footprint,Quantity,Value,LCSC Part #
12V_HEADER1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"BL_1, BL_2, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,9,Yellow,
"BTN_CHR1, BTN_RST1, BTN_SET1",B3F1000,3,B3F-1055,
"C1, C3",CP_Radial_D4.0mm_P1.50mm,2,10uF,
"C2, C4, C5",C_Disc_D3.0mm_W1.6mm_P2.50mm,3,0.1uF Ceramic,
"CHR1, ET1",2841AW,2,2841AW,
"LED_CHR1, LED_ET1, LED_UTC1",LED_D3.0mm,3,White,
"LED_DY1, LED_HR1, LED_MIN1, LED_MIN2, LED_MO1, LED_SEC1, LED_Y1",LED_D3.0mm,7,Blue,
OPT_R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,5.6k,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,22k,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k,
"RSW_GPS1, RSW_RUN1",myRM103772BCB,2,RM103772BCB,
SHORTCUT1,PinHeader_1x02_P2.54mm_Vertical,1,Pin Header 1x02,
"U1, U2",DIP-24_W7.62mm,2,MAX7221xNG,
U3,DIP-16_W7.62mm,1,TLC5917,
U4,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
"UTC1, UTC2",2831AW,2,2831AW,
