Designator,Footprint,Quantity,Value,LCSC Part #
"12V_EXT1, 12V_HEADER1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,20,YELLOW,
BTN_CONSOLE_FLOOR1,T80-Z1,1,BTN_SPDT[ON-OFF-ON],
BTN_GPWS1,B3F1000,1,B3F-1055,
BTN_XFR1,SW-Push,1,Push Button,
"C1, C4",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,0.1uF Ceramic,
External1,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Pin Header 1x04,
GPWS1,LED_D3.0mm,1,RED,
GS1,LED_D3.0mm,1,AMBER,
"POT_ND1, POT_PFD1, POT_SPEAKER1",Potentiometer_Alps_RK09K_Single_Vertical,3,10k,
"R1, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,1k,
"U1, U4",DIP-16_W7.62mm,2,TLC5917,
U5,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
