Designator,Footprint,Quantity,Value,LCSC Part #
12V_HEADER1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
ATC_FAIL1,LED_D3.0mm,1,RED,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_21, BL_22, BL_23, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,23,YELLOW,
"BTN_0, BTN_1, BTN_2, BTN_3, BTN_4, BTN_5, BTN_6, BTN_7, BTN_CLR1",SW66-lwt,9,SW66-lwt,
BTN_IDENT1,B3F1000,1,B3F-1055,
C1,CP_Radial_D4.0mm_P1.50mm,1,10uF,
"C2, C3, C4, C5",C_Disc_D3.0mm_W1.6mm_P2.50mm,4,0.1uF Ceramic,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,22k,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,130,
"RN1, RN2",R_Array_SIP9,2,10k,
"RSW_ALT_RPTG1, RSW_XPDR1",myRM103772BCB,2,RM102772BCB,
"RSW_MODE1, RSW_TCAS_MODE1",myRM103772BCB,2,RM103772BCB,
RSW_TCAS_TRAFFIC1,myRM103772BCB,1,RM104772BCB,
SQ1,2841AW,1,2841AW,
U1,DIP-24_W7.62mm,1,MAX7221xNG,
U2,DIP-16_W7.62mm,1,TLC5917,
"U3, U4",DIP-16_W7.62mm,2,74HC165,
U5,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
