Designator,Footprint,Quantity,Value,LCSC Part #
12V_HEADER1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_21, BL_22, BL_23, BL_24, BL_25, BL_26, BL_27, BL_28, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,28,YELLOW,
C1,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,0.1uF Ceramic,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,1k,
RSW_MODE1,SR16-AB,1,SR16 4pos,
"RV_GAIN1, RV_TILT1",Potentiometer_Alps_RK09K_Single_Vertical,2,10k,
"SW_GCS1, SW_MULTISCANS1, SW_PWS1",T80-Z1,3,SW_SPDT[ON-OFF],
SW_SYS1,T80-Z1,1,SW_SPDT[ON-OFF-ON],
U1,DIP-16_W7.62mm,1,TLC5917,
U2,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
