Designator,Footprint,Quantity,Value,LCSC Part #
12V_HEADER1,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Pin Header 1x02,
12V_JACK1,BarrelJack_Horizontal,1,Power Jack,
"APU1, BLEED1, CLR1, CLR2, COND1, DOOR1, ELEC1, ENG1, FUEL1, F_CTL1, HYD1, PRESS1, STS1, WHEEL1",LED_D3.0mm,14,GREEN,
"BL_1, BL_10, BL_11, BL_12, BL_2, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,12,YELLOW,
"BL_ALL1, BL_APU1, BL_BLEED1, BL_CLR1, BL_CLR2, BL_COND1, BL_DOOR1, BL_ELEC1, BL_EMER_CANC1, BL_EMER_CANC2, BL_ENG1, BL_FUEL1, BL_F_CTL1, BL_HYD1, BL_PRESS1, BL_RCL1, BL_STS1, BL_T.O1, BL_T.O2, BL_WHEEL1",LED_D3.0mm,20,WHITE,
"BTN_ALL1, BTN_APU1, BTN_BLEED1, BTN_CLR1, BTN_CLR2, BTN_COND1, BTN_DOOR1, BTN_ELEC1, BTN_EMER_CANC1, BTN_ENG1, BTN_FUEL1, BTN_F_CTL1, BTN_HYD1, BTN_PRESS1, BTN_RCL1, BTN_STS1, BTN_T.O1, BTN_WHEEL1",B3F1000,18,B3F-1055,
"C1, C2, C3",C_Disc_D3.0mm_W1.6mm_P2.50mm,3,0.1uF Ceramic,
MUX1,MUX74HC4067,1,MUX74HC4067,
"POT_LOWER_DISP1, POT_UPPER_DISP1",Potentiometer_Alps_RK09K_Single_Vertical,2,10k,
"R1, R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,1k,
TO_LIGHTING1,IDC-Header_2x07_P2.54mm_Vertical,1,Pin Header 2x07,
"U1, U2, U3",DIP-16_W7.62mm,3,TLC5917,
U4,Sparkfun_Pro_Micro,1,Arduino Pro Micro,
